,name,val
0,亚丝娜,113
1,桐人,89
2,小说,84
3,刀剑,79
4,一个,77
5,刀剑神域,71
6,爱丽丝,62
7,UR,53
8,进击篇,50
9,剧情,49
10,游戏,43
11,感觉,37
12,角色,34
13,现实,31
14,记忆,30
15,好像,29
16,米特,29
17,动画,28
18,uw,28
19,世界,26
20,特别,25
21,武器,25
22,大佬,25
23,真的,24
24,原图,23
25,发现,22
26,川原,22
27,设定,22
28,一点,22
29,剧场版,21
30,ur,21
31,技能,21
32,有没有,21
33,姥爷,21
34,主线,20
35,进击,20
36,很多,19
37,图片,19
38,喜欢,19
39,星王,19
40,一部,19
41,rt,18
42,UW,18
43,本身,18
44,十周年,17
45,第一季,17
46,镇楼,16
47,26,15
48,采用,15
49,短剑,15
50,更新,15
51,有人,14
52,到底,14
53,刚看,14
54,速度,14
55,几年,13
56,玩家,13
57,消息,13
58,等级,13
59,第三季,13
60,一篇,12
61,原创,12
62,一张,12
63,地方,12
64,记得,12
65,大陆,12
66,情报,12
67,sao,12
68,故事,12
69,楼下,11
70,篇章,11
71,东西,11
72,介绍,11
73,谢谢,11
74,漫画,11
75,差不多,11
76,影响,11
77,10,11
78,GGO,11
79,尤吉欧,11
80,纪念版,10
81,群像,10
82,方式,10
83,叙事,10
84,笔法,10
85,感受,10
86,ars,10
87,关服,10
88,挂机,10
89,不算,10
90,纯爱,10
91,洞窟,10
92,目标,10
93,进去,10
94,abec,10
95,没什么,10
96,理想,10
97,啊啊啊,10
98,来说,10
99,体验,10
100,我会,10
101,资料,10
102,诗乃,10
103,看过,10
104,电影,10
105,原著,10
106,内容,10
107,分享,9
108,转换,9
109,简单,9
110,本人,9
111,两年,9
112,女生,9
113,未来,9
114,本书,9
115,最新,9
116,不到,9
117,大概,9
118,灵魂,9
119,情节,9
120,希望,9
121,核心,9
122,SAO,9
123,资源,9
124,pdd,8
125,闲鱼,8
126,学校,8
127,日本,8
128,代表,8
129,内心,8
130,本来,8
131,概率,8
132,几卷,8
133,整体,8
134,作者,8
135,升级,8
136,两部,8
137,制作,8
138,戏份,8
139,二刀流,8
140,痛觉,8
141,王妃,8
142,很难,8
143,算是,8
144,网上,8
145,一本,8
146,见谅,8
147,领域,8
148,圣斗士,8
149,实在,8
150,妖精,8
151,概念,8
152,本贴,8
153,吳吳,8
154,观看,8
155,人物,8
156,十年,8
157,系列,8
158,闲着,7
159,类似,7
160,楼主,7
161,地图,7
162,一年,7
163,汇总,7
164,战争,7
165,两百年,7
166,桐亚,7
167,外传,7
168,活动,7
169,好好,7
170,老婆,7
171,评价,7
172,优纪,7
173,后续,7
174,镰刀,7
175,一楼,7
176,篇幅,7
177,成功,7
178,几个,7
179,心意,7
180,顺序,7
181,链接,7
182,推荐,7
183,##,7
184,稀有,6
185,买回来,6
186,加速,6
187,隔壁,6
188,黑衣,6
189,讨论,6
190,相关,6
191,tv,6
192,妹子,6
193,麻痹,6
194,进来,6
195,老爷,6
196,一句,6
197,复制,6
198,看着,6
199,机翻,6
200,说实话,6
201,状态,6
202,简直,6
203,只能,6
204,画集,6
205,溶解,6
206,锻造,6
207,色卡,6
208,作监,6
209,极端,6
210,亚粉,6
211,两级,6
212,分化,6
213,请问,6
214,动漫,6
215,得罪,6
216,完结,6
217,顺便,6
218,出自,6
219,细节,6
220,年级,6
221,画师,6
222,时空,6
223,删减,6
224,哪册,6
225,作画,5
226,监督,5
227,铃木,5
228,足力慎,5
229,原稿,5
230,分镜,5
231,物品,5
232,全是,5
233,figma,5
