,name,val
0,没有,18451
1,现在,17357
2,一个,15093
3,感觉,12296
4,一下,11788
5,汽车,11120
6,比亚迪,10946
7,推荐,10919
8,特斯拉,10842
9,车型,10538
10,知道,10185
11,问题,9626
12,比较,9574
13,喜欢,9437
14,价格,9275
15,觉得,8512
16,动力,8027
17,油耗,7926
18,车主,7823
19,内饰,7705
20,今天,7549
21,家里,7514
22,考虑,7381
23,买车,7271
24,一辆,7230
25,车子,7205
26,左右,7148
27,10,6811
28,有没有,6807
29,情况,6697
30,销量,6670
31,目前,6640
32,真的,6545
33,电车,6539
34,落地,6454
35,配置,6415
36,朋友,6346
37,很多,6329
38,一点,6261
39,公里,6241
40,有点,6236
41,发现,6218
42,外观,6172
43,一直,5929
44,奔驰,5912
45,直接,5900
46,空间,5872
47,看到,5852
48,已经,5840
49,这种,5692
50,品牌,5632
51,国产,5587
52,预算,5492
53,发动机,5451
54,新能源,5370
55,看看,5351
56,一年,5278
57,1.5,5261
58,应该,5234
59,提车,5214
60,驾驶,5203
61,11,5045
62,基本,5036
63,刹车,4994
64,不能,4978
65,新车,4931
66,时间,4892
67,大众,4868
68,大佬,4841
69,20,4835
70,准备,4794
71,续航,4710
72,需要,4652
73,最近,4559
74,可能,4550
75,起来,4538
76,宝马,4525
77,这是,4514
78,12,4497
79,是不是,4480
80,SUV,4359
81,之前,4314
82,加速,4257
83,销售,4231
84,主要,4228
85,2.0,4216
86,两个,4196
87,路上,4149
88,丰田,4141
89,不要,4123
90,保险,4094
91,便宜,4072
92,自动,4059
93,公司,4018
94,用车,3990
95,不错,3983
96,优惠,3981
97,不会,3909
98,不好,3807
99,一台,3741
100,车辆,3700
101,万元,3677
102,特别,3665
103,油车,3590
104,只能,3582
105,选择,3541
106,平时,3519
107,奥迪,3516
108,合资,3511
109,好看,3498
110,不到,3484
111,4s店,3462
112,首付,3459
113,建议,3426
114,2022,3418
115,车价,3402
116,长安,3385
117,网上,3379
118,高速,3360
119,最大,3359
120,事故,3358
121,保养,3317
122,老哥,3301
123,非常,3294
124,这车,3259
125,纠结,3258
126,国产车,3245
127,本田,3244
128,大概,3241
129,试驾,3220
130,方向盘,3220
131,充电,3213
132,雅阁,3211
133,30,3186
134,开车,3167
135,方面,3135
136,兄弟,3102
137,购车,3065
138,性价比,3056
139,最后,3048
140,司机,3002
141,客户,2990
142,二手车,2988
143,差不多,2945
144,吉利,2923
145,领克,2921
146,变速箱,2863
147,设计,2847
148,轿车,2838
149,豪华,2776
150,凯美瑞,2775
151,安全,2760
152,15,2751
153,后来,2735
154,混动,2724
155,影响,2700
156,里面,2692
157,市场,2681
158,电池,2678
159,好像,2660
160,二手,2646
161,大神,2643
162,了解,2642
163,需求,2638
164,电动,2626
165,家用,2626
166,打算,2614
167,本来,2613
168,确实,2607
169,蔚来,2595
170,原因,2588
171,视频,2567
172,奇瑞,2556
173,要求,2539
174,介绍,2534
175,bba,2530
176,其实,2528
177,100km,2505
178,轮胎,2485
179,一款,2479
180,suv,2412
181,性能,2404
182,系统,2402
183,正常,2396
184,以前,2394
185,回家,2382
186,友们,2380
187,之后,2380
188,谢谢,2347
189,座椅,2333
190,大哥,2332
191,最好,2329
192,请问,2328
193,更好,2324
194,个人,2323
195,以后,2314
196,活动,2305
197,一次,2294
198,燃油,2281
199,使用,2279
200,上班,2261
201,下来,2254
202,购置税,2250
203,今年,2244
204,2000,2235
205,一个月,2220
206,省油,2220
207,一定,2216
208,方便,2214
209,北京,2213
210,凯迪拉克,2209
211,完全,2205
212,帕萨特,2203
213,第一,2199
214,星瑞,2191
215,不够,2191
216,月销量,2184
217,合适,2162
218,工作,2159
219,舒服,2150
220,功能,2144
221,马力,2140
222,不了,2140
223,毕竟,2138
224,疫情,2124
225,万左右,2114
226,日产,2105
227,##,2103
228,数据,2078
229,实在,2078
230,入手,2064
231,18,2061
232,23,2046
233,底盘,2013
234,2021,2012
235,满意,2012
236,25,2007
237,代步,2005
238,买个,2004
239,东西,2002
240,当时,1997
241,一起,1996
242,几个,1993
243,海豹,1981
244,理想,1974
245,处理,1972
246,不行,1953
247,不用,1948
248,后排,1947
249,有人,1944
250,男子,1938
251,交付,1927
252,用户,1909
253,体验,1909
254,价位,1908
255,思域,1904
256,车身,1901
257,月份,1889
258,明年,1886
259,出去,1886
260,22,1886
261,油门,1882
262,地方,1874
263,中国,1871
264,这款,1865
265,车友,1844
266,孩子,1832
267,踏板,1830
268,实际,1817
269,后期,1801
270,明显,1789
271,面子,1787
272,起步,1786
273,手里,1781
274,质量,1777
275,牌子,1770
276,想要,1767
277,4S店,1763
278,几天,1763
279,全款,1759
280,加上,1748
281,启动,1746
282,毕业,1745
283,万公里,1733
284,发生,1732
285,晚上,1728
286,到底,1728
287,经历,1727
288,出现,1721
289,上下班,1719
290,500,1703
291,行驶,1691
292,导致,1690
293,遇到,1689
294,问界,1684
295,估计,1676
296,台车,1671
297,全新,1669
298,看车,1653
299,车位,1653
300,大灯,1649
301,新款,1649
302,以内,1648
303,听说,1637
304,电动车,1632
305,技术,1627
306,是因为,1626
307,有个,1625
308,真是,1620
309,平台,1616
310,属于,1608
311,过年,1608
312,那种,1607
313,荣威,1603
314,维修,1590
315,plus,1585
316,40,1585
317,超过,1585
318,老婆,1576
319,懂车,1575
320,市区,1565
321,轮毂,1564
322,年底,1564
323,03,1561
324,结婚,1556
325,保时捷,1553
326,Model,1550
327,速度,1549
328,儿子,1545
329,名爵,1542
330,手机,1539
331,颜值,1537
332,车标,1535
333,通勤,1531
334,扭矩,1527
335,买辆,1527
336,为啥,1520
337,交警,1515
338,坐标,1513
339,空调,1512
340,迈腾,1510
341,选车,1507
342,人生,1501
343,运动,1501
344,17,1501
345,联系,1497
346,探险者,1497
347,记录仪,1483
348,停车,1483
349,突然,1481
350,行车,1473
351,贷款,1466
352,纯电,1464
353,看起来,1462
354,后面,1460
355,不少,1455
356,14,1452
357,科技,1452
358,综合,1450
359,车上,1446
360,费用,1445
361,解决,1444
362,后悔,1443
363,天籁,1439
364,保值,1436
365,一辆车,1434
366,存在,1431
367,以下,1430
368,普通,1425
369,日系,1422
370,问问,1419
371,生活,1417
372,难道,1417
373,分析,1415
374,100,1412
375,dmi,1407
376,CVT,1407
